timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1193474219;-1193502039;40;0;27820;25000;-2820;111.28;-11.28;27
-1193446178;-1193474219;40;0;28041;25000;-3041;112.164;-12.164;28
-1193418360;-1193446178;40;0;27818;25000;-2818;111.272;-11.272;29
-1193391790;-1193418360;40;0;26570;25000;-1570;106.28;-6.28;30
-1193364289;-1193391790;40;0;27501;25000;-2501;110.004;-10.004;31
-1193336736;-1193364289;40;0;27553;25000;-2553;110.212;-10.212;32
-1193307866;-1193336736;40;0;28870;25000;-3870;115.48;-15.48;33
-1193279064;-1193307866;40;0;28802;25000;-3802;115.208;-15.208;34
-1193251862;-1193279064;40;0;27202;25000;-2202;108.808;-8.808;35
-1193225211;-1193251862;40;0;26651;25000;-1651;106.604;-6.604;36
-1193197492;-1193225211;40;0;27719;25000;-2719;110.876;-10.876;37
-1193168960;-1193197492;40;0;28532;25000;-3532;114.128;-14.128;38
-1193140876;-1193168960;40;0;28084;25000;-3084;112.336;-12.336;39
-1193113253;-1193140876;40;0;27623;25000;-2623;110.492;-10.492;0
-1193085755;-1193113253;40;0;27498;25000;-2498;109.992;-9.992;1
-1193058920;-1193085755;40;0;26835;25000;-1835;107.34;-7.34;2
-1193031439;-1193058920;40;0;27481;25000;-2481;109.924;-9.924;3
-1193001717;-1193031439;40;0;29722;25000;-4722;118.888;-18.888;4
-1192973541;-1193001717;40;0;28176;25000;-3176;112.704;-12.704;5
-1192945772;-1192973541;40;0;27769;25000;-2769;111.076;-11.076;6
-1192917196;-1192945772;40;0;28576;25000;-3576;114.304;-14.304;7
-1192889502;-1192917196;40;0;27694;25000;-2694;110.776;-10.776;8
-1192861870;-1192889502;40;0;27632;25000;-2632;110.528;-10.528;9
-1192833201;-1192861870;40;0;28669;25000;-3669;114.676;-14.676;10
-1192805652;-1192833201;40;0;27549;25000;-2549;110.196;-10.196;11
-1192777100;-1192805652;40;0;28552;25000;-3552;114.208;-14.208;12
-1192749822;-1192777100;40;0;27278;25000;-2278;109.112;-9.112;13
-1192722233;-1192749822;40;0;27589;25000;-2589;110.356;-10.356;14
-1192694990;-1192722233;40;0;27243;25000;-2243;108.972;-8.972;15
-1192667640;-1192694990;40;0;27350;25000;-2350;109.4;-9.4;16
-1192639285;-1192667640;40;0;28355;25000;-3355;113.42;-13.42;17
-1192610180;-1192639285;40;0;29105;25000;-4105;116.42;-16.42;18
-1192582878;-1192610180;40;0;27302;25000;-2302;109.208;-9.208;19
-1192553462;-1192582878;40;0;29416;25000;-4416;117.664;-17.664;20
-1192525481;-1192553462;40;0;27981;25000;-2981;111.924;-11.924;21
-1192498934;-1192525481;40;0;26547;25000;-1547;106.188;-6.188;22
-1192470979;-1192498934;40;0;27955;25000;-2955;111.82;-11.82;23
-1192442888;-1192470979;40;0;28091;25000;-3091;112.364;-12.364;24
-1192413692;-1192442888;40;0;29196;25000;-4196;116.784;-16.784;25
-1192385999;-1192413692;40;0;27693;25000;-2693;110.772;-10.772;26
-1192359324;-1192385999;40;0;26675;25000;-1675;106.7;-6.7;27
-1192332589;-1192359324;40;0;26735;25000;-1735;106.94;-6.94;28
-1192304062;-1192332589;40;0;28527;25000;-3527;114.108;-14.108;29
-1192274343;-1192304062;40;0;29719;25000;-4719;118.876;-18.876;30
-1192246739;-1192274343;40;0;27604;25000;-2604;110.416;-10.416;31
-1192219938;-1192246739;40;0;26801;25000;-1801;107.204;-7.204;32
-1192193330;-1192219938;40;0;26608;25000;-1608;106.432;-6.432;33
-1192165783;-1192193330;40;0;27547;25000;-2547;110.188;-10.188;34
-1192137960;-1192165783;40;0;27823;25000;-2823;111.292;-11.292;35
-1192109861;-1192137960;40;0;28099;25000;-3099;112.396;-12.396;36
-1192082475;-1192109861;40;0;27386;25000;-2386;109.544;-9.544;37
-1192053823;-1192082475;40;0;28652;25000;-3652;114.608;-14.608;38
-1192024944;-1192053823;40;0;28879;25000;-3879;115.516;-15.516;39
-1191997177;-1192024944;40;0;27767;25000;-2767;111.068;-11.068;0
-1191969552;-1191997177;40;0;27625;25000;-2625;110.5;-10.5;1
-1191941180;-1191969552;40;0;28372;25000;-3372;113.488;-13.488;2
-1191913435;-1191941180;40;0;27745;25000;-2745;110.98;-10.98;3
-1191886869;-1191913435;40;0;26566;25000;-1566;106.264;-6.264;4
-1191860301;-1191886869;40;0;26568;25000;-1568;106.272;-6.272;5
-1191833708;-1191860301;40;0;26593;25000;-1593;106.372;-6.372;6
-1191803072;-1191833708;40;0;30636;25000;-5636;122.544;-22.544;7
-1191772491;-1191803072;40;0;30581;25000;-5581;122.324;-22.324;8
-1191744627;-1191772491;40;0;27864;25000;-2864;111.456;-11.456;9
-1191717899;-1191744627;40;0;26728;25000;-1728;106.912;-6.912;10
-1191690049;-1191717899;40;0;27850;25000;-2850;111.4;-11.4;11
-1191662191;-1191690049;40;0;27858;25000;-2858;111.432;-11.432;12
-1191635653;-1191662191;40;0;26538;25000;-1538;106.152;-6.152;13
-1191608676;-1191635653;40;0;26977;25000;-1977;107.908;-7.908;14
-1191580050;-1191608676;40;0;28626;25000;-3626;114.504;-14.504;15
-1191550381;-1191580050;40;0;29669;25000;-4669;118.676;-18.676;16
-1191522473;-1191550381;40;0;27908;25000;-2908;111.632;-11.632;17
-1191495887;-1191522473;40;0;26586;25000;-1586;106.344;-6.344;18
-1191468999;-1191495887;40;0;26888;25000;-1888;107.552;-7.552;19
-1191440393;-1191468999;40;0;28606;25000;-3606;114.424;-14.424;20
-1191412598;-1191440393;40;0;27795;25000;-2795;111.18;-11.18;21
-1191385231;-1191412598;40;0;27367;25000;-2367;109.468;-9.468;22
-1191358212;-1191385231;40;0;27019;25000;-2019;108.076;-8.076;23
-1191330132;-1191358212;40;0;28080;25000;-3080;112.32;-12.32;24
-1191300012;-1191330132;40;0;30120;25000;-5120;120.48;-20.48;25
-1191271025;-1191300012;40;0;28987;25000;-3987;115.948;-15.948;26
-1191244518;-1191271025;40;0;26507;25000;-1507;106.028;-6.028;27
-1191216416;-1191244518;40;0;28102;25000;-3102;112.408;-12.408;28
-1191188785;-1191216416;40;0;27631;25000;-2631;110.524;-10.524;29
-1191161061;-1191188785;40;0;27724;25000;-2724;110.896;-10.896;30
-1191132436;-1191161061;40;0;28625;25000;-3625;114.5;-14.5;31
-1191103662;-1191132436;40;0;28774;25000;-3774;115.096;-15.096;32
-1191073837;-1191103662;40;0;29825;25000;-4825;119.3;-19.3;33
-1191046187;-1191073837;40;0;27650;25000;-2650;110.6;-10.6;34
-1191019506;-1191046187;40;0;26681;25000;-1681;106.724;-6.724;35
-1190991997;-1191019506;40;0;27509;25000;-2509;110.036;-10.036;36
-1190965422;-1190991997;40;0;26575;25000;-1575;106.3;-6.3;37
-1190936741;-1190965422;40;0;28681;25000;-3681;114.724;-14.724;38
-1190910117;-1190936741;40;0;26624;25000;-1624;106.496;-6.496;39
-1190882227;-1190910117;40;0;27890;25000;-2890;111.56;-11.56;0
-1190853871;-1190882227;40;0;28356;25000;-3356;113.424;-13.424;1
-1190824438;-1190853871;40;0;29433;25000;-4433;117.732;-17.732;2
-1190796437;-1190824438;40;0;28001;25000;-3001;112.004;-12.004;3
