timestamp_current_cycle;timestamp_last_cycle;freq;last_wait_time;time_consumption_current;nominal_duration;waiting_time_current;percentage_load_current_slice;percentage_waiting_current_slice;cycle_counter
-1185864274;-1185884240;50;19053;913;20000;19087;4.565;95.435;48
-1185844345;-1185864274;50;19087;842;20000;19158;4.21;95.79;49
-1185824280;-1185844345;50;19158;907;20000;19093;4.535;95.465;0
-1185804273;-1185824280;50;19093;914;20000;19086;4.57;95.43;1
-1185784340;-1185804273;50;19086;847;20000;19153;4.235;95.765;2
-1185764427;-1185784340;50;19153;760;20000;19240;3.8;96.2;3
-1185744373;-1185764427;50;19240;814;20000;19186;4.07;95.93;4
-1185724406;-1185744373;50;19186;781;20000;19219;3.905;96.095;5
-1185704215;-1185724406;50;19219;972;20000;19028;4.86;95.14;6
-1185684260;-1185704215;50;19028;927;20000;19073;4.635;95.365;7
-1185664459;-1185684260;50;19073;728;20000;19272;3.64;96.36;8
-1185644461;-1185664459;50;19272;726;20000;19274;3.63;96.37;9
-1185624244;-1185644461;50;19274;943;20000;19057;4.715;95.285;10
-1185603830;-1185624244;50;19057;1357;20000;18643;6.785;93.215;11
-1185582741;-1185603830;50;18643;2446;20000;17554;12.23;87.77;12
-1185564449;-1185582741;50;17554;738;20000;19262;3.69;96.31;13
-1185544337;-1185564449;50;19262;850;20000;19150;4.25;95.75;14
-1185524355;-1185544337;50;19150;832;20000;19168;4.16;95.84;15
-1185504459;-1185524355;50;19168;728;20000;19272;3.64;96.36;16
-1185484467;-1185504459;50;19272;720;20000;19280;3.6;96.4;17
-1185464269;-1185484467;50;19280;918;20000;19082;4.59;95.41;18
-1185444348;-1185464269;50;19082;839;20000;19161;4.195;95.805;19
-1185424387;-1185444348;50;19161;800;20000;19200;4;96;20
-1185404303;-1185424387;50;19200;884;20000;19116;4.42;95.58;21
-1185384287;-1185404303;50;19116;900;20000;19100;4.5;95.5;22
-1185364421;-1185384287;50;19100;766;20000;19234;3.83;96.17;23
-1185344296;-1185364421;50;19234;891;20000;19109;4.455;95.545;24
-1185324429;-1185344296;50;19109;758;20000;19242;3.79;96.21;25
-1185304374;-1185324429;50;19242;813;20000;19187;4.065;95.935;26
-1185284462;-1185304374;50;19187;725;20000;19275;3.625;96.375;27
-1185264104;-1185284462;50;19275;1083;20000;18917;5.415;94.585;28
-1185244444;-1185264104;50;18917;743;20000;19257;3.715;96.285;29
-1185224282;-1185244444;50;19257;905;20000;19095;4.525;95.475;30
-1185204270;-1185224282;50;19095;917;20000;19083;4.585;95.415;31
-1185184223;-1185204270;50;19083;964;20000;19036;4.82;95.18;32
-1185164285;-1185184223;50;19036;902;20000;19098;4.51;95.49;33
-1185143845;-1185164285;50;19098;1342;20000;18658;6.71;93.29;34
-1185122706;-1185143845;50;18658;2481;20000;17519;12.405;87.595;35
-1185101211;-1185122706;50;17519;3976;20000;16024;19.88;80.12;36
-1185084194;-1185101211;50;16024;993;20000;19007;4.965;95.035;37
-1185063996;-1185084194;50;19007;1191;20000;18809;5.955;94.045;38
-1185044055;-1185063996;50;18809;1132;20000;18868;5.66;94.34;39
